unique_words,words_a1,words_a2,words_b1,words_b2,avg_acc_7d,avg_acc_30d,avg_time_sec,words_day_7d,words_day_30d,streak,sessions_week,target_days_b2
1110,423,687,0,0,0.77,0.88,14.6,32,28,67,18,100.0
1827,445,1033,349,0,0.87,0.83,3.1,3,17,25,8,151.0
1408,554,818,0,0,0.8456719652659774,0.9229874318774686,9.0,25,22,87,1,139.81561816914217
235,235,0,0,0,0.76,0.77,9.4,27,21,32,19,224.0
1554,447,881,193,0,0.7375046208714919,0.8025977668499726,7.0,31,30,144,2,88.78802029719246
320,294,0,0,0,0.9341725197705565,0.9530848481343424,7.0,41,38,13,16,93.89078008438743
3868,575,871,1590,832,0.72,0.8,5.8,58,33,85,5,4.0
787,533,133,0,0,0.7936939055184743,0.8375942566465583,14.0,62,33,105,3,94.96227914200233
1842,458,896,259,0,0.681762713714587,0.7079665740703053,6.0,7,12,6,12,269.0597909023399
2675,549,966,1160,0,0.66,0.79,8.1,25,28,14,16,46.0
4028,540,983,1911,594,0.6,0.75,9.6,36,36,25,18,0.0
4007,479,927,1672,929,0.6,0.65,9.2,6,10,106,2,0.0
4461,440,891,1651,1157,0.9056250973223617,0.8276228964483849,13.0,13,11,2,19,0.0
803,537,266,0,0,0.78,0.73,7.9,2,9,146,6,419.0
2193,465,1230,459,0,0.8456719652659774,0.9229874318774686,13.0,16,19,58,1,107.15795553109436
4500,572,988,1811,1129,0.9,0.79,14.7,28,17,109,4,0.0
134,122,0,0,0,0.9145057298806502,0.8126302389355973,8.0,19,30,75,8,171.45272884975097
4540,421,1064,1976,878,0.7473380158164452,0.8326951831068465,4.0,41,32,10,5,0.0
4633,489,874,1862,1169,0.9046723349356969,0.8527601272780958,10.0,26,33,81,2,0.0
2724,431,863,1159,0,0.8038694684097368,0.7079665740703053,12.0,25,23,3,17,66.27575731785579
4038,402,964,1762,734,0.6785042512017726,0.8025977668499726,4.0,48,38,80,6,6.123311744633963
4483,576,1105,2017,601,0.649004066366913,0.702273045993726,7.0,47,35,135,8,0.0
4298,539,928,1640,850,0.8852739715398367,0.9173651382319449,7.0,8,14,17,17,0.0
1443,552,856,0,0,0.8456719652659774,0.8627925993637205,8.0,24,25,68,11,133.6923064245082
2639,381,832,1168,0,0.7936939055184743,0.8176515362502117,14.0,56,32,139,2,41.54599712462602
5009,415,1057,1682,1586,0.8063383854861645,0.792565294764348,11.0,12,14,125,11,0.0
2505,469,846,928,0,0.6512360250407995,0.6281956924849188,7.0,38,24,154,7,89.02713669562718
4837,461,1117,1676,1338,0.698171041091679,0.6922405739081013,4.0,38,40,15,10,0.0
4623,557,994,1713,1359,0.88,0.91,15.0,59,37,55,4,0.0
1662,450,881,294,0,0.865338755155884,0.9430523760487177,12.0,47,37,26,12,84.70581246743649
2222,442,946,834,0,0.65,0.76,11.4,7,16,21,1,134.0
4084,426,992,1915,414,0.8750984086485741,0.7279092944666519,3.0,45,37,83,10,4.945952038645954
5129,476,1149,1700,1535,0.9341725197705565,0.9129549597918438,6.0,10,19,75,7,0.0
3749,476,805,1779,377,0.9361517859961492,0.8176515362502117,9.0,40,22,54,9,20.77299856231301
4674,572,900,1685,1517,0.93,0.93,5.8,37,34,102,8,0.0
561,398,129,0,0,0.865338755155884,0.9129549597918438,8.0,29,31,31,8,133.6923064245082
1266,411,833,0,0,0.6293372764770065,0.8126302389355973,4.0,1,17,122,1,204.11039148779878
3638,392,826,1817,302,0.6614115879320619,0.6780524934757853,12.0,61,37,107,20,18.794617746854627
1599,475,907,0,0,0.8750984086485741,0.7279092944666519,12.0,48,30,111,17,75.1784709874185
855,425,430,0,0,0.9,0.78,7.7,28,24,140,9,157.0
2892,458,958,1394,0,0.9145057298806502,0.8226627110212219,5.0,7,14,73,13,102.05519574389939
528,444,0,0,0,0.8445717199747866,0.7977088158538651,5.0,58,43,103,16,63.308186094668216
2990,399,829,1483,0,0.681762713714587,0.6481384128812654,4.0,28,15,98,14,93.97308873427313
2833,403,910,1243,0,0.6715871508233244,0.7578233750611718,7.0,55,38,7,6,46.49194916327197
3275,456,1056,1655,108,0.75,0.87,9.9,33,34,126,17,19.0
1133,406,703,0,0,0.9440059147155098,0.9129549597918438,5.0,23,30,162,13,112.26071531828933
3424,385,861,1574,313,0.8343961570835242,0.8176515362502117,11.0,9,17,18,1,50.448710794188734
4636,481,813,1803,1210,0.6207093363670119,0.638167052683092,11.0,34,26,20,8,0.0
1000,432,568,0,0,0.68,0.78,8.9,9,23,118,6,140.0
2287,398,887,758,0,0.7631672168446868,0.8276228964483849,4.0,52,41,55,13,40.55680671689682
1004,481,489,0,0,0.8948389399907436,0.9330199039630932,9.0,48,43,129,16,58.17146157402265
3933,491,1042,1982,277,0.9046723349356969,0.7725003505930986,11.0,35,23,59,7,18.369935233901888
3568,448,1129,1880,11,0.6391706714219597,0.7323704622506,10.0,38,39,117,1,18.369935233901888
5024,490,1221,1603,1453,0.9833394944953227,0.8326951831068465,11.0,38,26,102,0,0.0
3851,550,987,1827,341,0.9538393096604629,0.9029224877062192,10.0,18,31,95,6,13.26717544670692
275,252,0,0,0,0.7473380158164452,0.8126302389355973,12.0,3,14,161,1,281.6723402531623
1770,522,1156,62,0,0.6588374613118663,0.8326951831068465,10.0,4,16,32,7,174.51438472206794
1993,532,852,609,0,0.97,0.88,11.2,9,23,120,1,74.0
570,520,50,0,0,0.83,0.84,6.6,7,14,43,2,293.0
1405,483,729,0,0,0.7224649652796368,0.6680811332776121,12.0,1,19,151,9,143.43260912073268
2542,572,1150,820,0,0.62,0.71,13.7,22,27,8,19,86.0
822,466,234,0,0,0.9158006602136242,0.857536977042905,8.0,58,36,155,15,88.03794628789798
3036,402,1133,1426,0,0.7473380158164452,0.8226627110212219,12.0,28,34,46,16,33.6782145954868
3698,487,1122,1978,111,0.81,0.9,3.4,51,39,70,2,6.0
4394,530,950,1766,798,0.9565029117786741,0.9572505790246381,9.0,44,32,33,16,0.0
4916,428,917,1868,1363,0.7326405281708993,0.857536977042905,14.0,37,23,2,17,0.0
696,381,212,0,0,0.976854037561199,0.9771932994209848,5.0,2,12,99,17,251.25436356321447
4291,587,1076,1663,774,0.8555053602109307,0.9229874318774686,6.0,7,16,18,15,0.0
2437,407,811,972,0,0.7326405281708993,0.8475656168447316,5.0,41,27,99,7,53.416282017376304
1446,576,833,0,0,0.826005175376071,0.8728250714493452,11.0,31,28,17,18,106.13740357365536
1399,469,737,0,0,0.7936939055184743,0.8375942566465583,12.0,24,21,51,7,96.94065995746071
2092,467,1231,359,0,0.7178378309815855,0.8427276551924712,8.0,21,15,142,7,150.0211377435321
1746,457,957,295,0,0.8358385703210243,0.8025977668499726,3.0,32,23,5,2,116.3429231480453
1935,548,964,423,0,0.68,0.68,6.5,10,11,4,12,283.0
1526,406,1120,0,0,0.68,0.79,6.3,26,18,116,3,130.0
5032,406,1113,1918,1344,0.6883376461467258,0.7223379901649754,3.0,13,28,112,2,0.0
60,50,0,0,0,0.681762713714587,0.7877374556556918,4.0,60,30,8,8,134.52989545116995
2597,515,971,1039,0,0.8948389399907436,0.9229874318774686,11.0,21,22,122,7,71.43863702072957
2353,473,791,840,0,0.9565029117786741,0.9173651382319449,13.0,4,11,31,9,157.28127482894135
1642,494,1123,0,0,0.9145057298806502,0.8226627110212219,10.0,7,18,8,16,153.08279361584908
1001,519,337,0,0,0.9565029117786741,0.9073937780337715,6.0,8,15,96,13,184.9786062453587
3187,481,1281,1349,0,0.7571714107613985,0.8627925993637205,5.0,24,28,101,2,45.924838084754725
1521,370,948,0,0,0.976854037561199,0.8276228964483849,8.0,4,19,136,13,108.810944850211
3661,399,905,1765,448,0.7473380158164452,0.7825328226787233,9.0,25,19,5,13,46.945390042193715
1616,501,894,0,0,0.8954495344310992,0.8375942566465583,13.0,12,13,61,1,161.2380364598581
3278,486,947,1569,276,0.74,0.82,11.1,38,38,124,19,19.0
4872,462,1020,1804,1232,0.7224649652796368,0.7478520148629986,4.0,13,24,43,4,0.0
2296,466,1226,561,0,0.7965049905412114,0.8728250714493452,8.0,12,21,98,13,97.9729879141434
720,413,307,0,0,0.6,0.76,12.9,40,25,146,18,161.0
2118,521,869,728,0,0.93,0.8,11.7,9,21,18,9,109.0
5090,443,1217,1602,1563,0.6588374613118663,0.7424029343362246,9.0,32,39,33,1,0.0
801,571,182,0,0,0.7178378309815855,0.792565294764348,9.0,48,31,60,6,106.13740357365536
1575,518,770,76,0,0.9463273488874117,0.8874510576374249,11.0,46,30,104,7,70.23251894877255
1688,427,995,235,0,0.9046723349356969,0.7725003505930986,8.0,50,41,109,14,71.43863702072957
2055,433,1073,507,0,0.5998370916421468,0.7825328226787233,3.0,6,6,122,14,328.617730295356
1788,432,888,468,0,0.7,0.79,7.0,43,26,79,2,101.0
81,74,0,0,0,0.9538393096604629,0.9029224877062192,4.0,51,37,98,3,118.38402706292328
3373,431,901,1617,120,0.8954495344310992,0.8874510576374249,4.0,37,20,126,10,33.63247386279249
3188,505,1047,1636,0,0.63,0.8,3.5,30,27,133,19,29.0
2266,467,754,804,0,0.8649228457573117,0.7578233750611718,6.0,62,45,132,6,47.481139571001165
545,458,0,0,0,0.9666784746699366,0.857536977042905,9.0,21,13,45,4,280.9300757950902
2586,587,1023,976,0,0.84,0.79,7.6,55,45,112,4,31.0
1619,491,908,0,0,0.6919382766058494,0.7179379342684785,10.0,24,21,41,16,129.583943412524
1457,379,882,0,0,0.6919382766058494,0.6581097730794387,5.0,33,20,121,6,178.05427339125436
1984,590,852,542,0,0.98,0.91,9.9,36,37,34,19,52.0
3939,479,896,1715,849,0.68,0.66,14.3,12,8,99,14,11.0
1997,428,1186,383,0,0.92,0.92,8.0,41,37,32,10,58.0
3765,512,780,1949,200,0.8852739715398367,0.7777660954575185,3.0,16,20,148,17,23.740569785500583
575,415,125,0,0,0.7276712259265388,0.7323704622506,6.0,31,37,50,1,119.40457902036228
2961,455,1265,1174,0,0.9538393096604629,0.9229874318774686,9.0,29,25,122,6,50.0070459145107
4058,498,1188,1960,276,0.8161717804311177,0.8025977668499726,9.0,39,34,108,13,7.143863702072957
634,573,61,0,0,0.91,0.82,12.7,51,40,53,13,84.0
5013,510,1226,1775,1260,0.9145057298806502,0.7825328226787233,12.0,26,35,95,15,0.0
3480,445,1198,1771,66,0.67,0.72,8.2,10,19,36,18,33.0
4221,408,1097,1531,851,0.7326405281708993,0.7279092944666519,7.0,2,7,52,3,10.8810944850211
87,87,0,0,0,0.71,0.77,10.1,43,29,7,2,171.0
1944,520,1077,92,0,0.7835183426272118,0.7179379342684785,5.0,12,17,44,19,150.356941974837
1531,499,822,0,0,0.6614115879320619,0.6680811332776121,4.0,36,23,7,2,172.1191309448792
77,77,0,0,0,0.88,0.78,3.8,36,24,76,15,189.0
3142,478,957,1593,114,0.88,0.89,4.8,35,22,121,10,34.0
1893,367,925,379,0,1.0,0.9771932994209848,11.0,12,17,25,9,106.83256403475261
1764,584,1036,106,0,0.8850055450457904,0.762467878507474,10.0,43,43,134,11,74.50029289304655
1307,441,866,0,0,0.75,0.73,6.3,8,13,147,9,248.0
3235,390,910,1639,0,0.8140450313009993,0.7977088158538651,12.0,4,17,10,8,69.24332854104335
2470,548,1097,825,0,0.92,0.95,11.7,48,43,37,10,29.0
3832,576,1028,1892,201,0.9145057298806502,0.792565294764348,8.0,31,30,52,0,18.369935233901888
1291,536,755,0,0,0.82,0.86,7.3,2,20,141,2,118.0
394,362,0,0,0,0.6883376461467258,0.6822081018224767,10.0,12,20,45,1,285.7545480829183
270,270,0,0,0,0.61,0.8,3.2,18,16,1,13,258.0
2368,468,871,773,0,0.7122894023883743,0.6680811332776121,6.0,46,25,35,19,75.1784709874185
1972,535,963,426,0,0.9046723349356969,0.8928900156205946,5.0,44,30,106,18,67.3564291909736
2536,500,851,918,0,0.9158006602136242,0.9073937780337715,14.0,36,33,28,8,53.416282017376304
2956,449,1106,1096,0,0.7936939055184743,0.7777660954575185,9.0,20,15,153,12,70.23251894877255
1696,551,1145,0,0,0.87,0.76,14.6,25,29,72,12,85.0
2634,424,1000,935,0,0.9870296004524616,0.8176515362502117,9.0,13,12,106,5,127.60556259706563
4008,494,1125,1573,816,0.69,0.69,7.5,51,42,6,11,0.0
1286,401,864,0,0,0.7866715955962582,0.7323704622506,11.0,36,38,22,4,100.0140918290214
1764,528,1082,154,0,0.78,0.86,10.2,36,20,49,4,102.0
3386,468,938,1854,126,0.89,0.88,13.8,37,24,19,2,25.0
4018,470,864,1922,433,0.7021138394971118,0.7279092944666519,11.0,2,5,63,4,46.49194916327197
4099,482,1239,2006,241,0.7768382006513049,0.7825328226787233,13.0,14,17,85,13,11.226071531828932
747,596,151,0,0,0.96,0.94,5.5,1,15,3,2,261.0
880,540,297,0,0,0.7866715955962582,0.8326951831068465,13.0,29,34,114,0,91.84967616950945
3054,390,1092,1272,0,0.8140450313009993,0.7279092944666519,14.0,19,21,82,9,57.37304364829307
1536,436,1085,15,0,0.64,0.63,13.2,52,32,132,2,98.0
1413,451,962,0,0,0.94,0.91,11.7,46,25,81,3,93.0
4779,425,1184,1759,1411,0.7,0.83,9.7,7,15,16,13,0.0
1347,529,630,0,0,0.6308848992582744,0.6281956924849188,5.0,28,22,104,12,152.3353227902954
4518,403,834,1830,1132,0.9056250973223617,0.7578233750611718,12.0,28,22,83,17,0.0
3430,419,1128,1583,300,0.98,0.91,8.9,8,18,77,8,31.0
1881,376,838,451,0,0.7224649652796368,0.8176515362502117,4.0,20,15,127,18,112.76770648112776
818,452,366,0,0,0.76,0.75,13.8,16,20,141,2,146.0
2503,437,1116,950,0,0.72,0.73,6.9,17,20,42,9,86.0
4795,449,966,1664,1716,0.9,0.93,5.0,55,46,75,13,0.0
3905,503,1126,1744,389,0.8555053602109307,0.9129549597918438,5.0,21,20,128,3,17.349383276462895
2271,582,872,817,0,0.61,0.8,4.4,11,15,16,18,130.0
3213,449,1023,1429,0,0.7428160910621618,0.7677947352593452,13.0,41,37,34,14,26.708141008688152
67,56,0,0,0,0.7631672168446868,0.7677947352593452,5.0,52,32,100,15,102.87580240383585
4571,579,1150,1925,723,0.7178378309815855,0.6922405739081013,7.0,0,9,103,15,0.0
3130,474,849,1511,0,0.6105337734757494,0.7478520148629986,8.0,31,17,155,1,60.340614871480646
428,360,0,0,0,0.6919382766058494,0.6780524934757853,11.0,55,30,52,14,133.54070504344077
4722,581,1168,2050,724,0.7178378309815855,0.8427276551924712,4.0,4,17,155,6,0.0
1446,450,972,0,0,0.7670048057063517,0.7123055180793506,9.0,0,3,7,18,698.0575388882718
2295,427,921,888,0,0.5998370916421468,0.702273045993726,7.0,41,40,19,7,59.19201353146164
879,551,282,0,0,0.9538393096604629,0.9831822643912164,5.0,28,30,120,2,117.3634751054843
1341,423,734,0,0,0.8445717199747866,0.8874510576374249,10.0,57,43,114,8,65.2865669101266
4856,549,1213,2029,856,0.8850055450457904,0.9129549597918438,11.0,50,34,38,7,0.0
1626,402,920,304,0,0.65,0.69,6.8,33,27,55,4,118.0
4716,552,879,1592,1429,0.8161717804311177,0.8025977668499726,13.0,7,10,50,14,0.0
1222,441,781,0,0,0.82,0.84,4.8,29,29,125,14,94.0
2524,449,990,813,0,0.8954495344310992,0.9373078586282915,10.0,9,11,29,6,112.76770648112776
4911,479,938,1682,1468,0.8140450313009993,0.8176515362502117,5.0,52,37,14,5,0.0
1302,460,662,0,0,0.7733427797359493,0.7977088158538651,7.0,28,22,76,19,133.54070504344077
101,93,0,0,0,0.698171041091679,0.8226627110212219,6.0,2,21,128,12,219.4186708493837
4065,475,974,1541,1075,0.91,0.81,6.4,52,44,126,3,0.0
1285,503,750,0,0,0.6686708562568194,0.7424029343362246,4.0,50,43,122,16,67.3564291909736
2903,500,946,1162,0,0.7936939055184743,0.7877374556556918,8.0,48,32,59,17,41.54599712462602
1232,516,542,0,0,0.6919382766058494,0.8176515362502117,11.0,8,7,20,16,359.0761180056963
1412,455,932,0,0,0.9243391248256032,0.9129549597918438,7.0,15,13,96,13,234.7269502109686
2809,521,875,1413,0,0.92,0.79,8.6,28,29,1,2,62.0
5007,418,773,1704,1796,0.9463273488874117,0.9273364984301182,14.0,38,27,112,1,0.0
4479,492,1032,1948,1007,0.65,0.74,12.5,53,35,119,6,0.0
4423,487,1027,2009,537,0.6919382766058494,0.6581097730794387,4.0,4,3,107,19,0.0
772,409,249,0,0,0.8954495344310992,0.8176515362502117,13.0,34,22,62,14,110.78932566566938
3163,474,974,1407,0,0.7835183426272118,0.8774796974392516,7.0,61,39,6,20,25.718950600958962
2410,463,1173,774,0,0.75,0.8,7.3,11,21,111,15,81.0
3762,418,1070,1972,302,0.79,0.83,12.5,45,35,50,9,6.0
1595,479,933,183,0,0.76,0.85,4.9,40,29,60,13,72.0
1226,439,787,0,0,0.76,0.71,3.9,14,12,46,12,319.0
4143,438,807,2012,564,0.7122894023883743,0.6780524934757853,7.0,8,15,106,20,10.8810944850211
2389,478,986,925,0,0.62,0.63,3.2,30,29,145,5,77.0
4064,457,1024,1932,303,0.8445717199747866,0.7977088158538651,10.0,46,30,104,15,6.924332854104336
4938,393,1050,1700,1450,0.8852739715398367,0.7478520148629986,13.0,41,35,64,20,0.0
4615,441,954,1686,1293,0.7965049905412114,0.9129549597918438,7.0,20,21,57,15,0.0
5023,396,1033,1855,1389,0.9259762231048867,0.7877374556556918,8.0,30,17,103,15,0.0
1823,413,964,446,0,0.65,0.72,14.0,40,34,46,9,88.0
556,462,5,0,0,0.7733427797359493,0.8276228964483849,14.0,6,8,89,2,460.9627300018029
1654,455,976,0,0,0.9666784746699366,0.8874510576374249,7.0,0,10,0,20,251.25436356321447
795,407,388,0,0,0.89,0.85,13.5,18,16,9,13,231.0
1079,489,590,0,0,0.65,0.81,6.1,6,8,144,10,345.0
608,586,22,0,0,0.84,0.74,14.3,25,16,30,11,292.0
2924,527,904,1404,0,0.7178378309815855,0.7825328226787233,4.0,52,45,63,9,34.69876655292579
2862,554,1179,1129,0,0.69,0.7,14.4,47,41,131,9,34.0
4472,577,881,1611,1403,0.64,0.72,9.2,26,19,18,19,0.0
2563,550,1037,976,0,0.93,0.85,7.0,53,37,19,6,48.0
86,73,0,0,0,0.9259762231048867,0.9373078586282915,14.0,25,17,27,8,238.394888262735
1687,543,908,195,0,0.7965049905412114,0.7725003505930986,6.0,13,18,46,3,167.37052101999498
2459,500,1003,956,0,0.78,0.85,14.1,31,26,2,12,78.0
3760,524,1161,1823,134,0.7571714107613985,0.8527601272780958,5.0,46,45,78,7,13.26717544670692
3267,455,1039,1457,0,0.976854037561199,0.8475656168447316,4.0,19,17,68,12,52.427091609647114
215,197,0,0,0,0.8751721501008372,0.7524354064218493,10.0,28,29,15,5,152.06224165841007
2930,491,1093,1269,0,0.7080044360366323,0.8326951831068465,10.0,39,38,5,11,34.69876655292579
3689,493,892,1839,465,0.77,0.84,5.3,15,18,80,2,20.0
767,530,237,0,0,0.63,0.72,11.2,18,28,69,10,158.0
1174,450,560,0,0,0.6308848992582744,0.6082529720885721,4.0,26,23,17,17,177.06508298352517
919,489,295,0,0,0.9361517859961492,0.9073937780337715,11.0,41,22,147,13,95.95146954973151
4825,420,930,1861,1360,0.6883376461467258,0.8025977668499726,8.0,38,35,2,1,0.0
4748,418,1007,1916,1057,0.7224649652796368,0.7279092944666519,12.0,34,33,102,7,0.0
143,131,0,0,0,0.7571714107613985,0.8427276551924712,9.0,9,22,32,5,224.52143063657866
454,454,0,0,0,0.83,0.86,4.4,1,14,62,4,279.0
3194,429,1026,1739,0,0.81,0.76,13.2,50,29,63,17,25.0
918,443,475,0,0,0.98,0.82,6.7,16,18,84,10,183.0
1130,494,636,0,0,0.97,0.94,10.7,54,39,41,16,79.0
1266,466,772,0,0,0.8948389399907436,0.8627925993637205,7.0,4,21,104,11,134.7128583819472
4104,531,943,1746,884,0.71,0.71,14.8,43,30,33,14,0.0
1270,508,762,0,0,0.8,0.75,14.2,24,14,8,2,227.0
2370,551,1180,587,0,0.8555053602109307,0.9129549597918438,6.0,48,39,137,12,54.08925374426667
2889,375,1035,1194,0,0.8649228457573117,0.8276228964483849,10.0,30,22,72,6,43.5243779400844
1190,418,772,0,0,0.68,0.65,14.5,49,34,142,9,108.0
247,227,0,0,0,0.9440059147155098,0.9229874318774686,2.0,37,30,62,11,127.56899467987424
1824,559,1036,189,0,0.7670048057063517,0.7223379901649754,9.0,24,17,132,17,199.0076317006038
4989,477,987,1587,1658,0.9538393096604629,0.8828575435349698,12.0,24,22,137,18,0.0
1810,467,884,232,0,0.6410604621495369,0.7279092944666519,14.0,23,25,3,6,124.63799137387805
1312,431,700,0,0,0.9361517859961492,0.8974224178355983,12.0,46,37,66,16,75.1784709874185
3804,472,1054,1886,392,0.86,0.73,3.4,43,39,80,10,5.0
750,456,294,0,0,0.77,0.72,8.6,58,47,10,5,95.0
129,129,0,0,0,0.89,0.86,4.7,34,26,143,6,137.0
3263,447,877,1698,241,0.63,0.65,10.4,52,35,113,1,30.0
241,241,0,0,0,0.81,0.91,4.7,59,41,61,4,68.0
2855,454,814,1311,0,0.7326405281708993,0.8375942566465583,11.0,55,30,33,20,47.481139571001165
4176,595,1043,1639,899,0.83,0.74,6.7,15,17,30,14,0.0
2479,574,1006,831,0,0.7375046208714919,0.7223379901649754,8.0,4,13,3,1,184.71990429645788
4359,369,836,1861,982,0.8445717199747866,0.8076801760520385,6.0,47,30,34,9,0.0
2314,462,922,674,0,0.9972051633437241,0.8276228964483849,11.0,32,32,142,15,62.318995686939026
2573,539,1212,764,0,0.9145057298806502,0.7725003505930986,6.0,10,21,133,0,82.66470855255851
492,492,0,0,0,0.83,0.8,6.0,55,46,99,15,64.0
966,458,369,0,0,0.7631672168446868,0.7279092944666519,10.0,21,18,67,13,190.91374869173384
