unique_words,words_a1,words_a2,words_b1,words_b2,avg_acc_7d,avg_acc_30d,avg_time_sec,words_day_7d,words_day_30d,streak,sessions_week,target_days_b2
890,444,446,0,0,0.61,0.62,13.9,56,40,7,6,142
721,547,174,0,0,0.95,0.86,12.9,55,36,57,5,106
3702,530,886,1717,569,0.68,0.71,6.7,20,18,117,4,18
647,432,215,0,0,0.99,0.84,7.8,42,34,17,2,92
4343,497,864,1829,1153,0.67,0.82,13.2,1,7,98,16,0
4580,524,966,1585,1505,0.72,0.82,4.3,58,36,99,19,0
1904,448,831,625,0,0.95,0.88,12.1,51,38,143,8,59
1799,515,891,393,0,0.7,0.74,14.8,25,15,131,8,151
1627,405,966,256,0,0.78,0.77,4.1,4,9,12,10,275
2605,440,963,1202,0,0.85,0.89,7.8,47,34,42,6,45
2872,479,1186,1207,0,0.96,0.84,14.8,32,32,129,8,40
737,506,231,0,0,0.78,0.81,4.0,31,22,12,11,176
624,508,116,0,0,0.65,0.77,6.9,27,31,59,5,121
2450,595,1080,775,0,0.96,0.79,11.8,27,30,9,6,64
3040,507,1163,1370,0,0.74,0.77,12.9,27,30,21,1,34
1765,433,840,492,0,0.78,0.84,10.8,47,36,17,5,78
2959,414,1146,1399,0,0.61,0.75,4.3,34,33,47,7,31
4269,400,1046,1842,981,0.63,0.68,13.4,46,32,21,3,0
1386,516,870,0,0,0.9,0.93,5.8,8,23,77,15,91
3858,533,1050,1718,557,0.82,0.73,8.4,37,27,100,8,5
3967,483,1168,1780,536,0.77,0.69,14.6,21,22,110,19,2
2381,572,1126,683,0,0.89,0.81,13.0,59,41,142,6,34
2773,567,1085,1121,0,0.6,0.7,6.6,10,24,78,9,50
117,117,0,0,0,0.95,0.95,7.0,21,20,62,17,155
2365,434,1066,865,0,0.92,0.87,10.9,47,35,101,3,44
2094,588,1192,314,0,0.95,0.79,14.5,7,17,76,12,117
576,504,72,0,0,0.96,0.87,10.3,50,37,132,7,75
821,549,272,0,0,0.8,0.83,14.4,33,32,105,1,90
4055,405,1013,1652,985,0.6,0.61,10.2,26,19,124,10,0
4586,492,908,1740,1446,0.85,0.82,8.4,19,18,49,14,0
1263,535,728,0,0,0.94,0.83,8.6,52,32,88,5,78
905,420,485,0,0,0.95,0.89,3.4,10,16,139,13,212
3678,400,967,1607,704,0.89,0.92,11.1,44,30,45,7,11
4665,552,1146,1673,1294,0.62,0.66,3.7,46,35,82,18,0
4083,467,960,1626,1030,0.87,0.75,10.2,39,31,113,1,0
381,381,0,0,0,0.63,0.69,14.3,28,21,51,11,222
959,450,509,0,0,0.65,0.65,5.1,5,18,117,2,217
436,436,0,0,0,1.0,0.96,11.3,11,25,65,13,118
1286,461,825,0,0,0.69,0.74,12.8,37,34,21,11,98
2708,572,1174,962,0,0.72,0.82,8.4,33,34,79,9,37
409,409,0,0,0,0.83,0.79,10.2,35,36,34,5,119
1641,464,992,185,0,0.66,0.64,10.7,27,33,126,11,86
1879,463,1124,292,0,0.75,0.72,14.9,0,17,0,4,150
1507,468,1039,0,0,0.99,0.9,4.6,25,28,107,10,78
2359,458,924,977,0,0.8,0.72,13.0,36,37,87,6,53
2466,428,876,1162,0,0.98,0.87,7.6,47,36,68,5,35
2402,540,961,901,0,0.9,0.92,8.3,41,39,109,19,32
390,390,0,0,0,0.74,0.72,14.6,38,23,129,3,155
2236,578,1072,586,0,0.95,0.9,9.8,57,40,85,8,33
706,500,206,0,0,0.96,0.81,10.1,33,24,54,13,141
2343,548,1045,750,0,0.82,0.72,11.2,40,28,70,17,80
2717,451,1151,1115,0,0.84,0.79,6.4,32,30,143,11,52
3875,578,1018,1581,698,0.78,0.81,10.1,6,22,48,9,4
2434,512,1024,898,0,0.7,0.71,6.1,4,10,31,16,220
4167,492,1013,1670,992,0.95,0.88,10.6,20,20,35,15,0
3284,418,1169,1697,0,1.0,0.82,3.0,2,3,36,5,171
4286,535,1188,1687,876,0.86,0.88,13.2,1,14,9,2,0
463,463,0,0,0,0.72,0.77,10.6,12,24,34,13,202
407,407,0,0,0,0.87,0.76,13.1,59,39,102,2,83
2208,558,1089,561,0,0.76,0.74,4.8,54,42,118,7,47
2418,544,1032,842,0,0.99,0.92,7.3,56,42,31,17,40
1639,451,947,241,0,0.81,0.8,5.8,52,40,79,4,52
1085,518,567,0,0,0.65,0.75,3.7,11,15,93,18,195
2391,486,887,1018,0,0.79,0.76,14.3,28,30,139,1,50
4282,554,961,1927,840,0.83,0.9,14.3,18,14,112,12,0
3542,544,985,1970,43,0.8,0.78,10.6,55,34,23,11,17
978,423,555,0,0,0.65,0.76,14.3,8,16,84,19,217
1366,441,900,25,0,0.75,0.85,8.7,47,34,105,7,84
2307,540,899,868,0,0.89,0.82,13.4,53,39,100,13,48
1822,561,1192,69,0,0.97,0.81,11.8,5,15,28,8,161
405,405,0,0,0,0.71,0.73,3.7,53,33,53,12,106
3707,445,812,1664,786,0.96,0.95,11.5,13,13,131,15,18
3901,581,1171,1523,626,0.89,0.92,3.5,25,15,84,16,6
2201,491,985,725,0,0.65,0.63,12.2,29,33,134,7,58
1574,552,832,190,0,0.81,0.77,7.5,15,17,43,4,164
4452,559,1130,1763,1000,0.91,0.91,8.5,21,14,104,3,0
4046,556,897,1725,868,0.79,0.85,8.7,25,16,90,8,0
442,442,0,0,0,0.91,0.96,9.5,14,25,28,9,120
3320,505,825,1524,466,0.91,0.87,4.8,52,32,104,4,19
3533,464,848,1674,547,0.97,0.84,8.6,46,40,26,17,14
2345,453,960,932,0,0.72,0.81,7.3,57,41,46,5,45
3695,485,1009,1577,624,0.82,0.8,3.5,29,19,93,8,14
3356,507,960,1708,181,0.99,0.95,13.2,27,18,16,4,41
2793,463,986,1344,0,0.81,0.75,8.5,17,20,55,6,71
1333,507,826,0,0,0.89,0.82,11.4,42,31,8,13,117
2575,495,893,1187,0,0.78,0.85,14.5,49,37,93,12,30
3669,500,955,1925,289,0.92,0.77,12.7,39,22,55,8,18
2887,500,954,1433,0,0.76,0.86,3.0,35,24,34,19,48
650,492,158,0,0,0.75,0.75,12.1,34,36,113,7,106
2815,416,1073,1326,0,0.7,0.76,7.3,3,4,114,1,226
3749,486,1065,1814,384,0.69,0.65,3.4,16,21,98,13,13
4796,455,948,1598,1795,0.73,0.83,4.7,6,8,40,5,0
4550,531,1078,1861,1080,0.96,0.89,5.5,7,15,112,7,0
3021,467,1177,1377,0,0.95,0.87,4.1,26,32,24,10,36
339,339,0,0,0,0.95,0.88,6.4,22,15,95,9,184
3882,587,853,1825,617,0.62,0.81,5.7,37,31,61,3,4
391,391,0,0,0,0.89,0.94,5.7,35,22,141,18,168
1185,554,631,0,0,0.65,0.69,15.0,35,27,22,8,149
3692,430,1001,1531,730,0.67,0.79,10.0,10,23,10,17,17
202,202,0,0,0,0.65,0.74,12.4,24,22,127,2,210
3544,522,997,1500,525,0.65,0.65,13.2,56,38,73,13,13
1413,451,962,0,0,0.94,0.91,11.7,46,25,81,3,93
3221,431,1151,1627,12,0.96,0.78,12.4,34,26,58,1,38
3436,556,1138,1742,0,0.82,0.9,3.6,0,4,0,16,143
4670,463,946,1703,1558,0.69,0.82,12.7,30,19,2,19,0
4458,471,806,1705,1476,0.85,0.84,13.0,18,20,72,1,0
162,162,0,0,0,0.61,0.68,5.3,11,16,134,1,284
937,458,479,0,0,0.71,0.74,11.2,4,5,47,7,838
3815,534,878,1714,689,0.68,0.72,12.0,55,39,29,18,7
4506,456,1191,1717,1142,0.78,0.89,4.2,57,33,62,9,0
2038,481,1018,539,0,0.76,0.73,5.5,24,31,2,10,92
203,203,0,0,0,0.84,0.74,3.9,37,30,41,12,148
3604,510,1121,1913,60,0.86,0.87,7.5,26,20,73,1,20
4245,458,1057,1912,818,0.67,0.66,8.4,52,35,59,19,0
609,548,61,0,0,0.91,0.88,7.5,44,38,113,13,87
866,536,330,0,0,0.98,0.83,11.7,45,40,32,6,101
2754,473,1169,1112,0,0.77,0.71,12.0,24,28,111,15,59
2476,472,1047,957,0,0.85,0.85,5.9,19,23,111,15,52
2834,509,868,1457,0,0.7,0.66,8.5,2,19,75,16,64
1377,537,840,0,0,0.92,0.93,14.2,12,9,102,1,236
652,407,245,0,0,0.91,0.84,5.5,42,35,39,17,115
2962,581,836,1545,0,0.61,0.76,7.9,57,38,92,18,33
2609,538,985,1086,0,0.68,0.76,7.9,42,35,68,15,39
3124,565,1041,1518,0,0.7,0.68,4.9,4,9,92,18,136
2718,446,883,1389,0,0.64,0.68,6.7,59,45,56,10,35
326,326,0,0,0,0.9,0.76,13.5,44,40,55,5,94
1250,505,745,0,0,0.98,0.96,4.2,8,9,109,3,248
2522,517,1060,945,0,0.95,0.85,8.5,29,27,29,15,63
2750,559,845,1346,0,0.69,0.67,5.0,39,32,134,12,48
4434,557,1008,1625,1244,0.67,0.81,5.9,9,23,28,11,0
2303,566,1046,691,0,0.76,0.73,5.6,27,27,72,11,73
3410,589,818,1694,309,0.88,0.88,5.1,49,43,141,1,13
4065,447,1044,1819,755,0.97,0.87,14.8,16,13,13,5,0
4450,594,806,1813,1237,0.8,0.79,3.2,16,22,131,15,0
3750,559,1081,1879,231,0.95,0.92,11.4,55,30,93,16,6
1437,578,859,0,0,0.92,0.85,5.2,1,10,131,11,208
4687,456,1031,1645,1555,0.96,0.82,3.8,21,15,104,4,0
3456,515,1112,1548,281,0.63,0.69,12.6,14,19,123,10,32
52,52,0,0,0,0.74,0.74,3.8,3,9,122,11,575
3356,529,861,1755,211,0.79,0.7,12.7,55,37,48,4,23
299,299,0,0,0,0.82,0.81,7.2,31,26,99,5,128
93,93,0,0,0,0.9,0.78,5.3,27,18,145,16,255
2996,420,863,1713,0,0.96,0.89,10.6,41,28,13,11,34
3641,503,858,1812,468,0.7,0.69,8.1,11,12,44,11,33
2690,401,977,1312,0,0.78,0.78,14.5,48,27,61,1,52
4301,548,1177,1609,967,0.69,0.76,6.2,38,28,132,6,0
1413,500,913,0,0,0.75,0.76,3.4,21,15,125,3,213
2925,519,1101,1305,0,0.91,0.84,5.4,55,44,104,13,27
2428,581,1180,667,0,0.99,0.96,13.8,30,30,61,10,36
4496,542,1199,1752,1003,0.73,0.86,13.7,20,17,48,3,0
215,215,0,0,0,0.61,0.79,11.5,35,35,99,3,120
3246,537,1138,1524,47,0.63,0.74,11.8,1,7,61,11,124
2308,486,938,884,0,0.75,0.8,10.6,4,14,12,18,154
2267,565,813,889,0,0.98,0.96,7.3,53,37,120,11,35
3766,486,858,1844,578,0.86,0.78,4.9,6,7,143,8,38
1799,574,1008,217,0,0.98,0.8,11.2,32,25,12,8,118
2740,555,983,1202,0,0.76,0.71,9.9,37,21,36,11,78
3932,549,947,1507,929,0.63,0.66,14.0,19,19,62,11,4
1004,583,421,0,0,0.89,0.8,12.6,34,29,37,10,123
3344,518,1112,1714,0,0.98,0.94,4.5,59,37,17,10,20
4639,410,897,1933,1399,0.77,0.72,8.7,49,38,138,15,0
3205,530,1092,1583,0,0.67,0.66,3.1,22,18,110,8,49
1133,537,596,0,0,0.75,0.74,6.6,35,32,86,4,86
4311,526,1143,1882,760,0.71,0.67,13.0,10,21,46,5,0
4631,409,927,1737,1558,0.72,0.66,5.1,22,21,65,10,0
2203,580,983,640,0,0.78,0.84,9.9,50,33,145,15,47
1576,566,812,198,0,0.91,0.94,3.2,20,21,77,16,108
3965,571,837,1710,847,0.86,0.76,12.6,15,11,89,8,3
898,533,365,0,0,0.83,0.81,10.7,3,7,25,13,535
3312,565,919,1719,109,0.67,0.8,8.9,53,45,96,6,18
121,121,0,0,0,0.75,0.83,6.0,9,8,76,17,530
398,398,0,0,0,0.92,0.79,11.1,40,37,84,7,105
4670,444,926,1925,1375,0.92,0.88,12.0,53,45,129,15,0
2046,416,857,773,0,0.97,0.79,6.5,7,18,111,13,112
1570,555,988,27,0,0.85,0.88,9.2,29,23,96,18,96
1167,481,686,0,0,0.87,0.89,3.5,16,19,116,15,163
2811,507,852,1452,0,0.85,0.78,13.2,8,6,44,3,243
3841,408,1087,1770,576,0.79,0.85,14.0,7,9,12,1,20
3163,589,1170,1404,0,0.83,0.84,5.5,57,45,85,8,21
4535,485,901,1920,1229,0.9,0.84,4.1,48,43,115,11,0
866,548,318,0,0,0.72,0.67,10.6,58,39,6,19,103
1101,593,508,0,0,0.98,0.97,11.9,25,21,52,17,131
2797,482,985,1330,0,0.74,0.68,8.3,0,11,0,16,181
2544,599,1007,938,0,0.97,0.8,4.1,15,15,31,14,107
1323,551,772,0,0,0.86,0.88,12.0,9,16,67,5,133
3404,512,1070,1662,160,0.68,0.78,7.9,33,30,95,18,24
4232,575,982,1867,808,0.71,0.69,5.2,57,41,84,17,0
677,589,88,0,0,0.72,0.76,6.6,51,35,46,5,102
1376,595,781,0,0,0.97,0.95,9.8,22,14,40,18,178
1058,599,459,0,0,0.92,0.78,9.9,54,43,73,16,81
409,409,0,0,0,0.85,0.9,5.7,38,34,123,8,90
781,521,260,0,0,0.7,0.85,8.2,46,42,31,12,82
327,327,0,0,0,0.69,0.77,6.0,41,33,79,17,100
