text,label
"Actually, I often use fox in my life",animals
Sometimes I cannot imagine my life without deer for me.,animals
Sometimes I cannot imagine my life without bird right now.,animals
Yesterday I was thinking about fox and its importance in my opinion.,animals
"Basically, wolf is very important to me right now.",animals
"Actually, After a long day, I decided to focus on rabbit these days.",animals
"Basically, Sometimes I cannot imagine my life without tiger these days.",animals
"Actually, What do you think about fox? as usual.",animals
"Actually, I like wolf in my opinion.",animals
"You know, Sometimes I cannot imagine my life without tiger every day.",animals
"Well, People often underestimate how important horse is every day.",animals
I really like deer in my opinion.,animals
"You know, While working, I realized how important wolf is",animals
"Actually, While working, I realized how important tiger is for me.",animals
I see the tiger,animals
Do you like tiger? every day.,animals
"Well, Even though I was busy, I still thought about rabbit as usual.",animals
"Well, I have always been interested in horse these days.",animals
"After a long day, I decided to focus on bear",animals
"Honestly, I saw rabbit yesterday every day.",animals
"Well, Why do people love cat?",animals
"To be honest, I see the horse right now.",animals
"Basically, Where can I find horse? every day.",animals
"To be honest, Before going to sleep, I remembered lion every day.",animals
"Actually, I saw elephant yesterday every day.",animals
"Actually, I saw bear yesterday every day.",animals
"Actually, After a long day, I decided to focus on dog for me.",animals
"You know, Yesterday I was thinking about elephant and its importance",animals
"Well, I see the lion as usual.",animals
"Well, I see the deer",animals
"You know, Sometimes I cannot imagine my life without rabbit every day.",animals
"Well, I love rabbit as usual.",animals
What do you think about rabbit? as usual.,animals
"You know, I like horse in my opinion.",animals
"Well, Sometimes I cannot imagine my life without rabbit every day.",animals
"Basically, I want to try tiger soon every day.",animals
"You know, I have always been interested in cat as usual.",animals
"To be honest, I really like deer these days.",animals
Why do people love fox? as usual.,animals
What do you think about fox?,animals
"Honestly, Sometimes I cannot imagine my life without bear every day.",animals
"Actually, I love lion as usual.",animals
"To be honest, I often use bird in my life right now.",animals
"Actually, I have always been interested in bird as usual.",animals
"To be honest, I have a elephant",animals
Why do people love deer? right now.,animals
"Even though I was busy, I still thought about tiger",animals
"Well, I saw cat yesterday",animals
"Well, I see the fox these days.",animals
"While working, I realized how important horse is for me.",animals
"Actually, After a long day, I decided to focus on horse right now.",animals
Where can I find lion? these days.,animals
This is my elephant in my opinion.,animals
"Basically, While working, I realized how important fox is as usual.",animals
I often use deer in my life for me.,animals
"Actually, After a long day, I decided to focus on dog",animals
"You know, I love fox as usual.",animals
"In my opinion, bear plays a big role in our life right now.",animals
"To be honest, Sometimes I cannot imagine my life without cat",animals
"To be honest, In my opinion, rabbit plays a big role in our life these days.",animals
"Actually, I really like rabbit every day.",animals
"Actually, Sometimes I cannot imagine my life without horse right now.",animals
"Actually, I have a tiger every day.",animals
"Basically, People often underestimate how important tiger is right now.",animals
"You know, Do you like cat? these days.",animals
"You know, I often use horse in my life in my opinion.",animals
"Actually, I want to try bird soon",animals
I often use wolf in my life for me.,animals
"To be honest, Sometimes I cannot imagine my life without deer for me.",animals
"To be honest, Do you like deer? every day.",animals
"Actually, I have a cat for me.",animals
"Well, After a long day, I decided to focus on rabbit in my opinion.",animals
"You know, What do you think about bear? every day.",animals
"You know, Have you ever tried wolf? as usual.",animals
"You know, Why do people love deer? right now.",animals
"Actually, People often underestimate how important deer is in my opinion.",animals
I saw elephant yesterday for me.,animals
"Honestly, This is my bird for me.",animals
"To be honest, Before going to sleep, I remembered tiger in my opinion.",animals
"Actually, What do you think about deer?",animals
"Well, tiger is very important to me right now.",animals
lion is very important to me these days.,animals
I love elephant in my opinion.,animals
"To be honest, I see the deer",animals
"Actually, What do you think about cat? every day.",animals
"You know, People often underestimate how important horse is these days.",animals
"To be honest, I want to try cat soon",animals
"To be honest, I have always been interested in dog",animals
"Even though I was busy, I still thought about fox these days.",animals
"Actually, What do you think about lion?",animals
"Basically, This is my tiger for me.",animals
"To be honest, I have always been interested in wolf every day.",animals
"Basically, What do you think about elephant? in my opinion.",animals
Where can I find fox?,animals
"Well, Even though I was busy, I still thought about tiger in my opinion.",animals
"Honestly, I have a bear for me.",animals
Why do people love lion? these days.,animals
"To be honest, Sometimes I cannot imagine my life without cat every day.",animals
"Well, I love elephant in my opinion.",animals
"To be honest, deer is very important to me",animals
"Actually, I saw bear yesterday for me.",animals
"Well, This is my rabbit these days.",animals
I see the elephant,animals
"Actually, lion is very important to me every day.",animals
"Actually, People often underestimate how important dog is as usual.",animals
"To be honest, Have you ever tried elephant? every day.",animals
Where can I find dog? as usual.,animals
"Actually, Yesterday I was thinking about deer and its importance",animals
I saw dog yesterday in my opinion.,animals
"Honestly, I love fox every day.",animals
"To be honest, Even though I was busy, I still thought about wolf in my opinion.",animals
"Basically, What do you think about lion? every day.",animals
"You know, Do you like dog? as usual.",animals
Yesterday I was thinking about bird and its importance these days.,animals
"To be honest, Sometimes I cannot imagine my life without bird in my opinion.",animals
I have always been interested in bear every day.,animals
"Actually, Yesterday I was thinking about dog and its importance right now.",animals
I have always been interested in dog every day.,animals
"Well, I love rabbit right now.",animals
"To be honest, Do you like fox?",animals
"Honestly, I want to try tiger soon in my opinion.",animals
"To be honest, After a long day, I decided to focus on horse",animals
"Well, Even though I was busy, I still thought about cat these days.",animals
Why do people love elephant? as usual.,animals
I saw dog yesterday every day.,animals
"Honestly, Even though I was busy, I still thought about dog every day.",animals
"Actually, deer is very important to me as usual.",animals
"Well, Do you like horse? every day.",animals
"Basically, I see the wolf for me.",animals
"Honestly, Have you ever tried fox?",animals
"You know, Sometimes I cannot imagine my life without elephant in my opinion.",animals
"Actually, cat is very important to me every day.",animals
"To be honest, People often underestimate how important lion is right now.",animals
"Basically, Why do people love bird? every day.",animals
"Well, I often use bird in my life as usual.",animals
Sometimes I cannot imagine my life without tiger right now.,animals
"Basically, Do you like deer? as usual.",animals
"Honestly, Even though I was busy, I still thought about bear every day.",animals
"You know, I see the cat",animals
"To be honest, This is my horse",animals
"Basically, I see the deer these days.",animals
"Actually, Do you like dog? right now.",animals
"Basically, After a long day, I decided to focus on fox",animals
"Basically, While working, I realized how important bird is right now.",animals
"To be honest, After a long day, I decided to focus on bear",animals
"Well, I have a fox in my opinion.",animals
"Before going to sleep, I remembered tiger as usual.",animals
"Even though I was busy, I still thought about dog every day.",animals
"Actually, After a long day, I decided to focus on lion",animals
Yesterday I was thinking about cat and its importance in my opinion.,animals
"Basically, In my opinion, bird plays a big role in our life these days.",animals
"Basically, Have you ever tried tiger? these days.",animals
I really like lion as usual.,animals
"Well, While working, I realized how important fox is every day.",animals
"Well, I see the fox every day.",animals
"To be honest, I want to try bear soon in my opinion.",animals
"To be honest, I like bear in my opinion.",animals
"Honestly, Why do people love bear?",animals
"Actually, In my opinion, horse plays a big role in our life as usual.",animals
"To be honest, I want to try deer soon in my opinion.",animals
"To be honest, I have always been interested in tiger",animals
"You know, I have always been interested in tiger in my opinion.",animals
deer is very important to me as usual.,animals
I like elephant every day.,animals
"You know, I saw elephant yesterday for me.",animals
"Actually, I often use bear in my life these days.",animals
"You know, I love horse these days.",animals
"You know, dog is very important to me as usual.",animals
"Honestly, I often use lion in my life right now.",animals
"Actually, Have you ever tried wolf? these days.",animals
"Actually, Do you like elephant? right now.",animals
People often underestimate how important dog is these days.,animals
"Basically, While working, I realized how important tiger is right now.",animals
I have always been interested in dog in my opinion.,animals
"To be honest, This is my wolf right now.",animals
"Actually, Before going to sleep, I remembered bear as usual.",animals
"In my opinion, bear plays a big role in our life for me.",animals
"You know, I like horse for me.",animals
"To be honest, I have a bear in my opinion.",animals
Sometimes I cannot imagine my life without bear these days.,animals
"Actually, I love cat every day.",animals
"Well, This is my dog these days.",animals
"You know, People often underestimate how important rabbit is as usual.",animals
"Honestly, Before going to sleep, I remembered fox as usual.",animals
"To be honest, This is my bear as usual.",animals
"You know, I love elephant for me.",animals
"Well, People often underestimate how important horse is right now.",animals
"You know, While working, I realized how important dog is right now.",animals
"Actually, I have always been interested in cat for me.",animals
People often underestimate how important dog is for me.,animals
"Honestly, I saw bird yesterday for me.",animals
"Well, Why do people love dog? for me.",animals
"Honestly, Yesterday I was thinking about tiger and its importance",animals
"Honestly, I see the elephant in my opinion.",animals
This is my lion these days.,animals
"Well, In my opinion, cat plays a big role in our life right now.",animals
"Actually, I really like cat",animals
"Basically, Before going to sleep, I remembered lion",animals
"To be honest, I have a deer every day.",animals
Have you ever tried bird? every day.,animals
I saw wolf yesterday in my opinion.,animals
"Even though I was busy, I still thought about horse",animals
"Basically, I have always been interested in horse",animals
"Honestly, Yesterday I was thinking about dog and its importance",animals
"You know, I want to try lion soon as usual.",animals
"Actually, Have you ever tried fox? every day.",animals
"Basically, Where can I find wolf?",animals
"Well, This is my deer as usual.",animals
"Basically, I saw horse yesterday right now.",animals
"You know, Sometimes I cannot imagine my life without bird in my opinion.",animals
"To be honest, I see the bird",animals
I have a dog as usual.,animals
"You know, Before going to sleep, I remembered dog these days.",animals
"You know, I love wolf",animals
"Basically, In my opinion, rabbit plays a big role in our life",animals
"Actually, Where can I find elephant? right now.",animals
"Well, What do you think about dog? these days.",animals
"Well, Do you like bear?",animals
"You know, Why do people love bird?",animals
"Well, What do you think about elephant? as usual.",animals
Where can I find wolf? in my opinion.,animals
"Actually, I really like cat in my opinion.",animals
"In my opinion, bird plays a big role in our life these days.",animals
"Basically, What do you think about lion?",animals
"Before going to sleep, I remembered lion",animals
"Well, Have you ever tried deer? as usual.",animals
"You know, People often underestimate how important rabbit is these days.",animals
"You know, bird is very important to me",animals
"Honestly, I see the cat",animals
"Actually, I have a bear every day.",animals
"To be honest, Sometimes I cannot imagine my life without bear every day.",animals
"Well, I want to try rabbit soon",animals
Sometimes I cannot imagine my life without bird in my opinion.,animals
"To be honest, While working, I realized how important bear is in my opinion.",animals
"Basically, I saw cat yesterday",animals
"Actually, I often use cat in my life for me.",animals
"Actually, I want to try lion soon right now.",animals
"To be honest, I like dog as usual.",animals
"Basically, I see the lion for me.",animals
"You know, Why do people love wolf?",animals
"Before going to sleep, I remembered rabbit as usual.",animals
People often underestimate how important cat is right now.,animals
"Basically, Sometimes I cannot imagine my life without fox as usual.",animals
"Basically, This is my elephant",animals
"To be honest, I really like bird right now.",animals
Sometimes I cannot imagine my life without dog for me.,animals
"Basically, What do you think about rabbit?",animals
"You know, rabbit is very important to me for me.",animals
I really like bird,animals
"Well, Have you ever tried wolf? right now.",animals
"Honestly, Before going to sleep, I remembered bird for me.",animals
"Actually, I see the dog for me.",animals
"Honestly, Where can I find lion?",animals
"To be honest, Even though I was busy, I still thought about lion every day.",animals
"To be honest, What do you think about fox? right now.",animals
"Honestly, Yesterday I was thinking about bear and its importance every day.",animals
"To be honest, Do you like dog? in my opinion.",animals
What do you think about elephant? right now.,animals
"Actually, I have a wolf every day.",animals
I love horse right now.,animals
I have a elephant as usual.,animals
What do you think about horse? every day.,animals
"Well, Even though I was busy, I still thought about fox right now.",animals
"Honestly, Do you like fox?",animals
"You know, This is my horse",animals
"Honestly, Even though I was busy, I still thought about wolf",animals
"To be honest, After a long day, I decided to focus on tiger every day.",animals
"Honestly, Have you ever tried wolf? right now.",animals
"Basically, bird is very important to me as usual.",animals
"While working, I realized how important bird is right now.",animals
Yesterday I was thinking about dog and its importance as usual.,animals
"Honestly, I want to try elephant soon right now.",animals
"Honestly, What do you think about dog? right now.",animals
"Basically, Even though I was busy, I still thought about elephant these days.",animals
"After a long day, I decided to focus on fox in my opinion.",animals
"You know, I have always been interested in wolf these days.",animals
"After a long day, I decided to focus on bear as usual.",animals
"In my opinion, wolf plays a big role in our life right now.",animals
"Well, I really like elephant right now.",animals
"Well, I often use horse in my life these days.",animals
"Actually, I have a lion",animals
Why do people love wolf? right now.,animals
"Basically, I see the fox these days.",animals
"Honestly, I really like lion every day.",animals
"You know, Sometimes I cannot imagine my life without cat for me.",animals
"Actually, Where can I find horse? every day.",animals
"Well, Why do people love tiger? in my opinion.",animals
"You know, I often use horse in my life every day.",animals
"Basically, horse is very important to me as usual.",animals
"Honestly, I often use lion in my life in my opinion.",animals
"To be honest, Even though I was busy, I still thought about cat right now.",animals
This is my wolf in my opinion.,animals
"Actually, I really like dog every day.",animals
"Basically, I see the wolf",animals
"You know, People often underestimate how important tiger is",animals
"Basically, I love rabbit right now.",animals
I have always been interested in tiger right now.,animals
"You know, I like tiger",animals
"You know, Even though I was busy, I still thought about deer these days.",animals
"Actually, I love lion every day.",animals
"To be honest, I see the deer every day.",animals
I like fox,animals
"Honestly, I often use elephant in my life as usual.",animals
"Well, dog is very important to me in my opinion.",animals
"Well, I love dog as usual.",animals
"To be honest, Where can I find bear?",animals
Do you like dog? for me.,animals
"Actually, I see the deer as usual.",animals
"You know, Where can I find cat? for me.",animals
"Honestly, Sometimes I cannot imagine my life without fox",animals
"In my opinion, wolf plays a big role in our life",animals
Do you like rabbit? as usual.,animals
I want to try bird soon right now.,animals
"Well, In my opinion, dog plays a big role in our life",animals
"You know, Before going to sleep, I remembered fox these days.",animals
"You know, In my opinion, cat plays a big role in our life these days.",animals
"To be honest, People often underestimate how important bear is these days.",animals
"To be honest, I have a lion",animals
I often use elephant in my life for me.,animals
"Actually, Yesterday I was thinking about cat and its importance as usual.",animals
"Actually, Do you like wolf?",animals
"Actually, I often use bear in my life right now.",animals
"You know, Even though I was busy, I still thought about cat in my opinion.",animals
"Basically, In my opinion, dog plays a big role in our life as usual.",animals
"Basically, People often underestimate how important deer is right now.",animals
"To be honest, Do you like lion? right now.",animals
I want to try wolf soon as usual.,animals
"Honestly, Sometimes I cannot imagine my life without dog in my opinion.",animals
This is my bird right now.,animals
"Actually, bear is very important to me every day.",animals
"Basically, After a long day, I decided to focus on fox these days.",animals
"You know, People often underestimate how important deer is every day.",animals
"You know, Before going to sleep, I remembered cat as usual.",animals
"Even though I was busy, I still thought about elephant",animals
"Basically, Even though I was busy, I still thought about bear right now.",animals
"Honestly, Before going to sleep, I remembered wolf",animals
"To be honest, Where can I find lion?",animals
"Well, I have a lion right now.",animals
I have always been interested in bird these days.,animals
"You know, People often underestimate how important bear is right now.",animals
"Honestly, I have a horse right now.",animals
"Actually, Yesterday I was thinking about rabbit and its importance for me.",animals
"Honestly, I like dog every day.",animals
I have always been interested in wolf in my opinion.,animals
"To be honest, After a long day, I decided to focus on elephant for me.",animals
"To be honest, fox is very important to me for me.",animals
I see the dog every day.,animals
"To be honest, After a long day, I decided to focus on lion",animals
"You know, Yesterday I was thinking about bear and its importance",animals
"Actually, Why do people love wolf? in my opinion.",animals
"Honestly, After a long day, I decided to focus on lion right now.",animals
I saw wolf yesterday for me.,animals
"To be honest, I saw lion yesterday",animals
"You know, Why do people love bird? every day.",animals
I see the wolf,animals
"To be honest, I have always been interested in elephant as usual.",animals
What do you think about rabbit? these days.,animals
"Even though I was busy, I still thought about bird every day.",animals
"You know, While working, I realized how important horse is these days.",animals
"Honestly, Even though I was busy, I still thought about wolf these days.",animals
Have you ever tried rabbit?,animals
"Actually, I see the wolf these days.",animals
"Well, Yesterday I was thinking about lion and its importance right now.",animals
wolf is very important to me in my opinion.,animals
"Actually, Even though I was busy, I still thought about tiger these days.",animals
bear is very important to me these days.,animals
"Honestly, What do you think about fox? these days.",animals
"You know, Where can I find bear?",animals
I have a cat in my opinion.,animals
"Basically, I often use bear in my life",animals
"Actually, Even though I was busy, I still thought about horse in my opinion.",animals
"Basically, I saw horse yesterday in my opinion.",animals
I have a horse these days.,animals
"To be honest, Sometimes I cannot imagine my life without horse every day.",animals
"Honestly, Yesterday I was thinking about tiger and its importance right now.",animals
"You know, Yesterday I was thinking about deer and its importance as usual.",animals
"In my opinion, lion plays a big role in our life right now.",animals
People often underestimate how important tiger is in my opinion.,animals
"Honestly, I saw horse yesterday",animals
"Basically, cat is very important to me as usual.",animals
"You know, I really like tiger right now.",animals
"To be honest, I really like tiger every day.",animals
"To be honest, horse is very important to me",animals
"To be honest, I have always been interested in dog for me.",animals
"You know, What do you think about tiger?",animals
"To be honest, cat is very important to me every day.",animals
Why do people love elephant?,animals
"Actually, I see the rabbit right now.",animals
"In my opinion, rabbit plays a big role in our life as usual.",animals
"Well, What do you think about cat? right now.",animals
wolf is very important to me as usual.,animals
"Actually, People often underestimate how important grandmother is",family
"Basically, This is my parents right now.",family
"You know, Why do people love aunt? these days.",family
"Basically, Where can I find brother?",family
"Honestly, I love mother right now.",family
"To be honest, Have you ever tried cousin? these days.",family
"Honestly, Have you ever tried grandfather? right now.",family
"Honestly, Yesterday I was thinking about grandfather and its importance as usual.",family
"Actually, Before going to sleep, I remembered grandfather right now.",family
"To be honest, Have you ever tried grandmother? in my opinion.",family
"You know, I like cousin right now.",family
"Basically, This is my wife in my opinion.",family
"After a long day, I decided to focus on husband every day.",family
"Well, Even though I was busy, I still thought about sister",family
"Honestly, Do you like grandfather? as usual.",family
"Well, While working, I realized how important parents is",family
"After a long day, I decided to focus on grandfather for me.",family
"You know, People often underestimate how important mother is as usual.",family
"Well, Sometimes I cannot imagine my life without parents as usual.",family
"To be honest, Where can I find grandmother?",family
"Well, I see the husband right now.",family
"Basically, Do you like wife? right now.",family
"You know, People often underestimate how important parents is right now.",family
"Actually, Before going to sleep, I remembered wife every day.",family
"Actually, I saw brother yesterday in my opinion.",family
"Actually, brother is very important to me for me.",family
"To be honest, After a long day, I decided to focus on husband right now.",family
"Actually, In my opinion, cousin plays a big role in our life in my opinion.",family
"Basically, What do you think about father? as usual.",family
"Actually, I see the aunt",family
"After a long day, I decided to focus on sister right now.",family
"Actually, Even though I was busy, I still thought about cousin every day.",family
"Actually, I often use brother in my life in my opinion.",family
"Well, This is my parents for me.",family
"Well, While working, I realized how important mother is for me.",family
"Basically, This is my mother right now.",family
Do you like husband? these days.,family
"Honestly, Why do people love mother? as usual.",family
"To be honest, Do you like wife? for me.",family
"Actually, Yesterday I was thinking about sister and its importance",family
"Well, Even though I was busy, I still thought about father",family
"Honestly, Sometimes I cannot imagine my life without parents",family
"Honestly, Do you like uncle? in my opinion.",family
"Actually, I like mother",family
"To be honest, aunt is very important to me every day.",family
"To be honest, Have you ever tried parents? in my opinion.",family
"You know, This is my brother these days.",family
"Actually, People often underestimate how important husband is these days.",family
"You know, Before going to sleep, I remembered mother in my opinion.",family
"Well, While working, I realized how important grandfather is these days.",family
"Basically, Even though I was busy, I still thought about grandfather as usual.",family
Yesterday I was thinking about grandmother and its importance as usual.,family
"Honestly, This is my wife these days.",family
"Well, Yesterday I was thinking about cousin and its importance",family
"Well, I have always been interested in sister every day.",family
"You know, Even though I was busy, I still thought about sister for me.",family
"While working, I realized how important mother is every day.",family
"Basically, I really like sister in my opinion.",family
"Actually, This is my husband right now.",family
"Well, I saw grandfather yesterday these days.",family
"To be honest, I see the cousin right now.",family
"To be honest, After a long day, I decided to focus on uncle for me.",family
"While working, I realized how important brother is every day.",family
"You know, After a long day, I decided to focus on grandmother",family
This is my grandfather for me.,family
"Honestly, Why do people love grandfather? these days.",family
"To be honest, Have you ever tried aunt?",family
"To be honest, I often use wife in my life",family
People often underestimate how important grandmother is every day.,family
"Basically, Have you ever tried parents? every day.",family
"To be honest, I love grandfather in my opinion.",family
"Basically, I like husband in my opinion.",family
"Well, Before going to sleep, I remembered mother",family
"You know, Sometimes I cannot imagine my life without mother",family
I love grandmother every day.,family
"Basically, mother is very important to me these days.",family
"Basically, Even though I was busy, I still thought about parents right now.",family
"Basically, People often underestimate how important uncle is as usual.",family
"Honestly, While working, I realized how important father is right now.",family
"Basically, I really like father these days.",family
I saw husband yesterday,family
"Basically, People often underestimate how important sister is as usual.",family
"To be honest, I saw brother yesterday right now.",family
"Well, I want to try parents soon",family
"Basically, While working, I realized how important mother is",family
I often use brother in my life,family
"To be honest, I love grandfather",family
"Before going to sleep, I remembered brother as usual.",family
"Well, I saw cousin yesterday",family
"Actually, Have you ever tried parents? for me.",family
"You know, What do you think about husband? right now.",family
"Honestly, brother is very important to me for me.",family
"Actually, uncle is very important to me",family
"Honestly, What do you think about grandmother? as usual.",family
Do you like grandmother? right now.,family
"Basically, While working, I realized how important wife is right now.",family
"Basically, Sometimes I cannot imagine my life without husband these days.",family
"Honestly, I have always been interested in sister every day.",family
"Actually, I saw brother yesterday these days.",family
"Basically, I love cousin as usual.",family
"Honestly, Have you ever tried grandmother? as usual.",family
"Well, I want to try brother soon right now.",family
"To be honest, I have a wife right now.",family
"Well, Why do people love father?",family
I have always been interested in sister,family
"Well, What do you think about brother? every day.",family
"Actually, Yesterday I was thinking about brother and its importance",family
I often use brother in my life every day.,family
"Well, After a long day, I decided to focus on brother as usual.",family
"You know, Why do people love brother? in my opinion.",family
"You know, People often underestimate how important uncle is in my opinion.",family
"To be honest, In my opinion, sister plays a big role in our life every day.",family
"To be honest, Before going to sleep, I remembered father right now.",family
"You know, In my opinion, brother plays a big role in our life as usual.",family
"Well, What do you think about mother? these days.",family
"Basically, I want to try mother soon in my opinion.",family
"You know, I often use parents in my life for me.",family
"Well, What do you think about uncle? every day.",family
"You know, Even though I was busy, I still thought about grandmother in my opinion.",family
"To be honest, Before going to sleep, I remembered cousin every day.",family
"You know, Before going to sleep, I remembered parents these days.",family
"To be honest, Before going to sleep, I remembered parents these days.",family
"Even though I was busy, I still thought about grandmother",family
"While working, I realized how important father is",family
"Well, I see the uncle",family
I see the husband for me.,family
"You know, People often underestimate how important grandmother is",family
"To be honest, Even though I was busy, I still thought about grandfather every day.",family
"Basically, I like mother",family
"Actually, Have you ever tried mother? in my opinion.",family
"Basically, Have you ever tried mother? these days.",family
"Honestly, This is my father for me.",family
"Actually, Where can I find brother? right now.",family
I have always been interested in sister right now.,family
"Well, People often underestimate how important uncle is for me.",family
"While working, I realized how important sister is",family
"Basically, I have always been interested in father as usual.",family
Do you like grandmother?,family
I really like husband every day.,family
"You know, Even though I was busy, I still thought about uncle",family
"Well, I love grandmother for me.",family
"To be honest, What do you think about husband? in my opinion.",family
"Actually, I have a mother",family
Yesterday I was thinking about parents and its importance for me.,family
"Basically, I see the grandfather",family
"Well, I really like sister as usual.",family
"You know, Why do people love wife? as usual.",family
I see the husband right now.,family
"Basically, This is my mother for me.",family
"Basically, Yesterday I was thinking about father and its importance right now.",family
"Actually, Even though I was busy, I still thought about mother every day.",family
"You know, I saw cousin yesterday as usual.",family
"Basically, I really like uncle",family
"Well, grandfather is very important to me",family
"Honestly, I want to try father soon as usual.",family
"Honestly, Even though I was busy, I still thought about husband as usual.",family
"In my opinion, aunt plays a big role in our life",family
"To be honest, mother is very important to me right now.",family
"Honestly, This is my sister",family
"To be honest, Sometimes I cannot imagine my life without parents as usual.",family
I like father right now.,family
"You know, I have a grandmother as usual.",family
"Basically, mother is very important to me as usual.",family
"Well, Before going to sleep, I remembered father these days.",family
"Honestly, I have always been interested in wife these days.",family
"Actually, sister is very important to me every day.",family
"Honestly, I have a parents as usual.",family
"Actually, Sometimes I cannot imagine my life without sister every day.",family
"Actually, In my opinion, father plays a big role in our life for me.",family
"To be honest, Even though I was busy, I still thought about husband for me.",family
"Honestly, This is my cousin in my opinion.",family
"You know, I have always been interested in mother as usual.",family
"You know, People often underestimate how important aunt is as usual.",family
"Honestly, Where can I find wife? in my opinion.",family
"Well, Where can I find aunt? every day.",family
"Basically, I really like aunt right now.",family
"To be honest, Before going to sleep, I remembered sister for me.",family
"Actually, I have always been interested in aunt as usual.",family
"Well, This is my aunt these days.",family
Why do people love wife? every day.,family
"To be honest, I often use husband in my life in my opinion.",family
